Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
Mission: Impossible II,mission,PG-13,Action,2000-05-24,59.0,125000000.0,546388108,12,20,0,0,Paramount Pictures,USA,123,John Woo,2,4.371104864,Mission: Impossible III,PG-13,Action,2006-05-05,150000000.0,398479497,2.65652998,126,J.J. Abrams,Paramount Pictures,72
Mission: Impossible III,mission,PG-13,Action,2006-05-05,66.0,150000000.0,398479497,7,14,0,0,Paramount Pictures,USA,126,J.J. Abrams,3,2.65652998,Mission: Impossible - Ghost Protocol,PG-13,Action,2011-12-21,145000000.0,694713380,4.79112675862069,132,Brad Bird,Paramount Pictures,67
Mission: Impossible - Ghost Protocol,mission,PG-13,Action,2011-12-21,73.0,145000000.0,694713380,5,30,0,0,Paramount Pictures,USA,132,Brad Bird,4,4.79112675862069,Mission: Impossible - Rogue Nation,PG-13,Action,2015-07-31,150000000.0,682714267,4.551428446666670,131,Christopher McQuarrie,Paramount Pictures,43
Mission: Impossible - Rogue Nation,mission,PG-13,Action,2015-07-31,75.0,150000000.0,682714267,6,24,0,0,Paramount Pictures,USA,131,Christopher McQuarrie,5,4.551428446666670,Mission: Impossible - Fallout,PG-13,Action,2018-07-27,178000000.0,791115104,4.444466876404490,147,Christopher McQuarrie,Paramount Pictures,36
The Mummy,mummy,PG-13,Action,1999-05-07,48.0,80000000.0,415933406,5,23,0,1,Universal Pictures,USA,124,Stephen Sommers,1,5.199167575,The Mummy Returns,PG-13,Action,2001-05-04,98000000.0,443280904,4.523274530612250,130,Stephen Sommers,Universal Pictures,24
The Mummy Returns,mummy,PG-13,Action,2001-05-04,48.0,98000000.0,443280904,6,18,0,0,Universal Pictures,USA,130,Stephen Sommers,2,4.523274530612250,The Mummy: Tomb of the Dragon Emperor,PG-13,Action,2008-08-01,145000000.0,403449830,2.782412620689660,112,Rob Cohen,Universal Pictures,87
The Muppets,muppets,PG,Adventure,2011-11-23,75.0,45000000.0,165184237,16,43,1,1,Walt Disney Pictures,USA,103,James Bobin,1,3.6707608222222200,Muppets Most Wanted,PG,Adventure,2014-03-21,50000000.0,80383113,1.60766226,107,James Bobin,Walt Disney Pictures,28
Night at the Museum,museum,PG,Adventure,2006-12-22,48.0,110000000.0,574480841,2,8,0,0,Twentieth Century Fox,USA,108,Shawn Levy,1,5.2225531,Night at the Museum: Battle of the Smithsonian,PG,Adventure,2009-05-22,150000000.0,413106170,2.7540411333333300,105,Shawn Levy,Twentieth Century Fox,29
The Naked Gun,nakedgun,PG-13,Comedy,1988-12-02,76.0,12000000.0,78756177,0,1,0,0,Paramount Pictures,USA,85,David Zucker,1,6.56301475,The Naked Gun 2½: The Smell of Fear,PG-13,Comedy,1991-06-28,23000000.0,86930411,3.7795830869565200,85,David Zucker,Paramount Pictures,30
The Naked Gun 2½: The Smell of Fear,nakedgun,PG-13,Comedy,1991-06-28,65.0,23000000.0,86930411,2,1,0,0,Paramount Pictures,USA,85,David Zucker,2,3.7795830869565200,Naked Gun 33 1/3: The Final Insult,PG-13,Comedy,1994-03-18,30000000.0,51132598,1.7044199333333300,83,Peter Segal,Paramount Pictures,33
Nanny McPhee,nanny,PG,Comedy,2006-01-27,59.0,25000000.0,123276807,3,4,0,0,Universal Pictures,USA,97,Kirk Jones,1,4.93107228,Nanny McPhee Returns,PG,Comedy,2010-08-20,35000000.0,93251121,2.664317742857140,109,Susanna White,Universal Pictures,55
Finding Nemo,nemo,G,Animation,2003-05-30,90.0,94000000.0,940343261,49,62,1,1,Pixar Animation Studios,USA,100,Andrew Stanton,1,10.003651712766000,Finding Dory,PG,Animation,2016-06-17,200000000.0,1028570889,5.142854445,97,Andrew Stanton,Pixar Animation Studios,157
The Nutty Professor,nutty,PG-13,Comedy,1996-06-28,62.0,54000000.0,273961019,9,12,1,1,Imagine Entertainment,USA,95,Tom Shadyac,1,5.0733522037037000,Nutty Professor II: The Klumps,PG-13,Comedy,2000-07-28,84000000.0,166339890,1.9802367857142900,106,Peter Segal,Universal Pictures,49
Ocean's Eleven,oceans,PG-13,Crime,2001-12-07,74.0,85000000.0,450717150,4,20,0,0,Warner Bros.,USA,116,Steven Soderbergh,1,5.302554705882350,Ocean's Twelve,PG-13,Crime,2004-12-10,110000000.0,362744280,3.2976752727272700,125,Steven Soderbergh,Warner Bros.,36
Ocean's Twelve,oceans,PG-13,Crime,2004-12-10,58.0,110000000.0,362744280,3,8,0,0,Warner Bros.,USA,125,Steven Soderbergh,2,3.2976752727272700,Ocean's Thirteen,PG-13,Action,2007-06-08,85000000.0,311312624,3.6625014588235300,122,Steven Soderbergh,Warner Bros.,30
The Omega Code,omega,PG-13,Action,1999-08-27,14.0,8000000.0,12614346,16,34,0,0,Code Productions,USA,100,Robert Marcarelli,1,1.57679325,Megiddo,PG-13,Action,2001-09-21,22000000.0,6047691,0.27489504545454500,104,Brian Trenchard-Smith,Code Productions,25
The Omen,omen,R,Horror,1976-06-25,62.0,2800000.0,60922980,3,8,1,1,Twentieth Century Fox,UK,111,Richard Donner,1,21.75820714285710,Damien: Omen II,R,Drama,1978-06-09,6800000.0,26518355,3.899758088235290,107,Don Taylor,Twentieth Century Fox,24
